formula,strategy,temperature,train_auc_pr,cv_auc_pr_mean,cv_auc_pr_std,cv_auc_pr_ci95_low,cv_auc_pr_ci95_high,frozen_test_auc_pr
(mchc - mcv) / (mch + 0.01),seeded,0.3,0.015538713577853561,0.018692,0.008237,0.002547,0.034836,0.0147
(mch - 28) * (mchc - 32) * (mcv - 80) * (plt - 150),seeded,0.7,0.01257335862618322,0.013883,0.001796,0.010363,0.017404,
plt * (mchc - 0.01) / (mcv + 0.01),blind,1.0,0.012336802820958927,0.013113,0.001815,0.009555,0.016671,
(hgb - hct) * (mcv + 0.01) / (plt + 0.01),seeded,1.0,0.011896287009099827,0.012734,0.001533,0.00973,0.015737,
(rdw * (mchc - 30)) / (hgb + 0.01),blind,0.3,0.011814006731453911,0.012704,0.003237,0.00636,0.019048,
(mch - mchc) / (mcv + 0.01),seeded,0.3,0.011672025970455658,0.012535,0.002373,0.007885,0.017186,
(rdw + 0.01) * (plt - 400) / (mchc + 0.01),blind,0.3,0.011803999184584954,0.012459,0.001549,0.009422,0.015496,
(hgb + 0.01) * (mch + 0.01) * (plt + 0.01),seeded,0.7,0.01174751920282431,0.012444,0.001803,0.008911,0.015977,
(rbc - 0.01) / (plt + 0.01) * (mcv / (hct + 0.01)),blind,1.0,0.011723029874178784,0.012391,0.001435,0.009579,0.015203,
(mch - mchc) / (mchc + 0.01) * (plt / (wbc + 1)),blind,1.0,0.011493596678943126,0.012305,0.001877,0.008627,0.015984,
(plt - rbc) / (plt + rbc + 0.01),seeded,0.3,0.011401531137686218,0.012157,0.001365,0.009482,0.014832,
(mcv - 80) * (rbc / (wbc + 0.01)) / (plt + 0.01),blind,0.3,0.011509630663932732,0.012148,0.001818,0.008585,0.015711,
(mch - mchc) / (mchc + 0.01) * (rbc / (rbc + 0.01)),seeded,1.0,0.011327512933540174,0.012053,0.002006,0.008121,0.015985,
(mch - mchc) / (mch + 0.01),seeded,0.7,0.011325867122379239,0.01205,0.002003,0.008124,0.015975,
(plt / (hgb + 0.01)) * (hct > 0.35),blind,1.0,0.011253538213131289,0.011935,0.001193,0.009598,0.014273,
(mcv + plt) / (rbc + 0.01),seeded,1.0,0.011152858298463426,0.011903,0.001317,0.009321,0.014484,
(mcv - 100) * (rdw / (100 + 0.01)) * (plt / (wbc + 1)),blind,1.0,0.011170419252320582,0.011833,0.001486,0.00892,0.014746,
(hgb - 12) * (plt - 150) * (rdw - 15) / (mchc - 28),blind,0.7,0.011007763172381729,0.011781,0.001385,0.009067,0.014495,
(hct - 0.3) * (mchc - 11) / (plt + 0.01),blind,0.3,0.01103290911865953,0.01166,0.001116,0.009473,0.013847,
plt * (rdw + 0.01),seeded,0.7,0.010975034218504622,0.011514,0.000987,0.009579,0.013449,
