formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,strategy,temperature,disease,timestamp,num_features
(mchc - mcv) / (mch + 0.01),0.5761,0.0147,0.0132,0.5357,0.0258,0.0603,0.0156,0.0138,0.0122,seeded,0.3,t1d,2026-06-21T12:13:02.900355,3
(rdw * (mchc - 30)) / (hgb + 0.01),0.5931,0.0146,0.0149,0.631,0.0292,0.0683,0.0181,0.016,0.012,blind,0.3,t1d,2026-06-21T12:13:02.894719,3
(mch - 28) * (mcv - 80) / (rbc + 0.01),0.5432,0.0134,0.0121,0.6667,0.0237,0.0562,0.0129,0.0125,0.0111,blind,0.3,t1d,2026-06-21T12:13:02.894714,3
(mcv - 100) * (rdw / (100 + 0.01)) * (plt / (wbc + 1)),0.5856,0.0132,0.0138,0.4524,0.0268,0.0614,0.0152,0.0133,0.0128,blind,1.0,t1d,2026-06-21T12:13:02.899923,4
rdw * (mchc - 0.01) / (mcv + 0.01),0.5947,0.013,0.0131,0.75,0.0258,0.0614,0.0152,0.0151,0.0132,blind,1.0,t1d,2026-06-21T12:13:02.899182,3
plt * (rdw + 0.01),0.5652,0.013,0.0128,0.5595,0.0251,0.0587,0.0139,0.013,0.0118,seeded,0.7,t1d,2026-06-21T12:13:02.901379,2
(mch - mchc) / (mchc + 0.01) * (plt / (wbc + 1)),0.5765,0.013,0.0131,0.5238,0.0255,0.0595,0.0172,0.0128,0.0126,blind,1.0,t1d,2026-06-21T12:13:02.899918,4
(plt - rbc) * rdw * (mcv + 0.01),0.559,0.0129,0.012,0.7381,0.0236,0.0564,0.0136,0.0124,0.012,blind,0.7,t1d,2026-06-21T12:13:02.897530,4
(hgb - hct) * (mcv + 0.01) / (plt + 0.01),0.5694,0.0128,0.0124,0.619,0.0243,0.0575,0.0153,0.0128,0.0124,seeded,1.0,t1d,2026-06-21T12:13:02.903063,4
plt * rdw / (rbc + 0.01),0.5672,0.0128,0.0129,0.619,0.0253,0.0596,0.0141,0.0129,0.0122,seeded,1.0,t1d,2026-06-21T12:13:02.903519,3
(rdw * plt) / (hgb + 0.01) + (wbc - 4),0.5619,0.0127,0.0121,0.6905,0.0238,0.0566,0.014,0.012,0.012,seeded,0.3,t1d,2026-06-21T12:13:02.900163,4
(hgb - hct) * plt * rdw,0.5546,0.0126,0.0118,0.7738,0.0232,0.0555,0.013,0.0121,0.0119,blind,0.7,t1d,2026-06-21T12:13:02.897525,4
plt * (mchc - 0.01) / (mcv + 0.01),0.5697,0.0126,0.013,0.5476,0.0253,0.0592,0.0141,0.0134,0.0124,blind,1.0,t1d,2026-06-21T12:13:02.899187,3
(hgb + 0.01) * (mchc - 0.01) / (mcv + 0.01) * (rdw / 100 + 0.01),0.5587,0.0125,0.0116,0.7976,0.0228,0.0547,0.0132,0.0126,0.0115,blind,1.0,t1d,2026-06-21T12:13:02.899191,4
(plt - rbc) / (plt + rbc + 0.01),0.563,0.0125,0.0124,0.7024,0.0244,0.058,0.0139,0.0121,0.012,seeded,0.3,t1d,2026-06-21T12:13:02.900578,2
(plt / (hgb + 0.01)) * (hct > 0.35),0.5581,0.0125,0.0117,0.6905,0.0231,0.0549,0.0141,0.0121,0.0114,blind,1.0,t1d,2026-06-21T12:13:02.897848,3
(hgb - 12) * (plt - 150) * (rdw - 15) / (mchc - 28),0.5325,0.0124,0.0106,1.0,0.021,0.0509,0.0123,0.0106,0.0114,blind,0.7,t1d,2026-06-21T12:13:02.896533,4
(mch - mchc) / (mcv + 0.01),0.5593,0.0123,0.0133,0.4286,0.0259,0.0593,0.0129,0.0124,0.0114,seeded,0.3,t1d,2026-06-21T12:13:02.900780,3
(mcv + plt) / (rbc + 0.01),0.5572,0.0123,0.0123,0.6071,0.0242,0.057,0.0139,0.0123,0.0117,seeded,1.0,t1d,2026-06-21T12:13:02.903531,3
(hgb - mcv) / (rdw + 0.01),0.5708,0.0123,0.0121,0.7619,0.0239,0.057,0.0144,0.0135,0.0122,blind,1.0,t1d,2026-06-21T12:13:02.897830,3
(rbc - 0.01) / (plt + 0.01) * (mcv / (hct + 0.01)),0.5608,0.0123,0.0127,0.6905,0.025,0.0592,0.0146,0.0126,0.012,blind,1.0,t1d,2026-06-21T12:13:02.898523,4
(hct - 0.3) * (mchc - 11) / (plt + 0.01),0.5499,0.0123,0.0112,0.6786,0.022,0.0524,0.0137,0.012,0.0112,blind,0.3,t1d,2026-06-21T12:13:02.894972,3
(rdw + 0.01) * (plt - 400) / (mchc + 0.01),0.5592,0.0122,0.013,0.4762,0.0254,0.0588,0.013,0.013,0.0121,blind,0.3,t1d,2026-06-21T12:13:02.895189,3
(mch - mchc) / (mchc + 0.01) * (rbc / (rbc + 0.01)),0.5567,0.0121,0.0131,0.4762,0.0255,0.059,0.0139,0.0122,0.0116,seeded,1.0,t1d,2026-06-21T12:13:02.903514,3
(mch - mchc) / (mch + 0.01),0.5567,0.0121,0.0131,0.4762,0.0255,0.059,0.0138,0.0122,0.0116,seeded,0.7,t1d,2026-06-21T12:13:02.901683,2
(hgb - 12) * (plt - 150) * (rdw - 15) * (rbc - 4.5) * (mchc - 32),0.5321,0.012,0.0133,0.4405,0.0258,0.0592,0.0127,0.0119,0.0108,seeded,0.7,t1d,2026-06-21T12:13:02.902247,5
plt * (rdw / (wbc + 0.01)),0.545,0.0119,0.0116,0.75,0.0228,0.0546,0.0135,0.0116,0.0116,blind,1.0,t1d,2026-06-21T12:13:02.898513,3
(mcv - 80) * (rbc / (wbc + 0.01)) / (plt + 0.01),0.5572,0.0119,0.0116,0.7381,0.0228,0.0546,0.0106,0.0143,0.0112,blind,0.3,t1d,2026-06-21T12:13:02.894978,4
(hgb + 0.01) * (mchc - 0.01) / (mcv + 0.01),0.5232,0.0119,0.0113,0.7976,0.0224,0.0536,0.0086,0.0113,0.0115,blind,1.0,t1d,2026-06-21T12:13:02.899178,3
(plt - rbc) * (wbc + 0.01) * rdw * (mcv + 0.01),0.5456,0.0118,0.012,0.7024,0.0236,0.0561,0.0137,0.0119,0.0112,blind,0.7,t1d,2026-06-21T12:13:02.897540,5
(hct - 0.3) * (mchc - 30) / (plt + 0.01),0.5114,0.0117,0.0104,0.7143,0.0204,0.049,0.013,0.011,0.0102,blind,0.3,t1d,2026-06-21T12:13:02.894701,3
(hgb + 0.01) / (mchc + 0.01) * (rdw * (plt + 0.01) / (wbc + 0.01)),0.5353,0.0117,0.0115,0.8095,0.0226,0.0543,0.012,0.0113,0.0117,blind,0.7,t1d,2026-06-21T12:13:02.895810,5
(hgb - 30) * (rbc - 4) * (mchc - 25),0.5152,0.0116,0.0113,0.6429,0.0222,0.0528,0.0114,0.0111,0.0106,seeded,0.7,t1d,2026-06-21T12:13:02.901044,3
(hgb - mchc) / (mch + 0.01),0.5443,0.0116,0.0117,0.7143,0.0231,0.0551,0.0135,0.0115,0.0117,seeded,0.7,t1d,2026-06-21T12:13:02.901677,3
(hgb - 12) * (plt - 150) * (rdw - 15) * (rbc - 4.5),0.5031,0.0116,0.0107,1.0,0.0211,0.0511,0.0109,0.0103,0.0111,seeded,0.7,t1d,2026-06-21T12:13:02.902230,4
